lat,lon,HU
38.75,279.75,True
38.75,280.0,True
38.75,280.25,True
38.75,280.5,True
38.75,280.75,True
38.75,281.0,True
38.75,281.25,True
38.75,281.5,True
38.75,281.75,True
38.75,282.0,True
38.75,282.25,True
38.75,282.5,True
38.75,282.75,True
38.75,283.0,True
38.75,283.25,True
38.75,283.5,True
38.75,283.75,True
38.75,284.0,True
38.75,284.25,True
38.75,284.5,True
38.75,284.75,True
38.75,285.0,True
38.75,285.25,True
38.75,285.5,True
38.75,285.75,True
38.75,286.0,True
38.75,286.25,True
38.75,286.5,True
38.75,286.75,True
38.75,287.0,True
38.75,287.25,True
38.75,287.5,True
38.75,287.75,True
38.75,288.0,True
38.75,288.25,True
38.75,288.5,True
38.75,288.75,True
38.75,289.0,True
38.75,289.25,True
38.75,289.5,True
38.75,289.75,True
38.75,290.0,True
38.75,290.25,True
38.75,290.5,True
38.75,290.75,True
38.75,291.0,True
38.75,291.25,True
38.75,291.5,True
38.75,291.75,True
38.75,292.0,True
38.75,292.25,True
38.75,292.5,True
38.75,292.75,True
38.75,293.0,True
38.75,293.25,True
38.75,293.5,True
38.75,293.75,True
38.75,294.0,True
38.75,294.25,True
38.75,294.5,True
38.75,294.75,True
38.75,295.0,True
38.75,295.25,True
38.75,295.5,True
38.75,295.75,True
38.75,296.0,True
38.75,296.25,True
38.75,296.5,True
38.75,296.75,True
38.75,297.0,True
38.75,297.25,True
38.75,297.5,True
38.75,297.75,True
38.75,298.0,True
38.75,298.25,True
38.75,298.5,True
38.75,298.75,True
38.75,299.0,True
38.75,299.25,True
39.0,275.75,True
39.0,276.0,True
39.0,276.25,True
39.0,276.5,True
39.0,276.75,True
39.0,277.0,True
39.0,277.25,True
39.0,277.5,True
39.0,277.75,True
39.0,278.0,True
39.0,278.25,True
39.0,278.5,True
39.0,278.75,True
39.0,279.0,True
39.0,279.25,True
39.0,279.5,True
39.0,279.75,True
39.0,280.0,True
39.0,280.25,True
39.0,280.5,True
39.0,280.75,True
39.0,281.0,True
39.0,281.25,True
39.0,281.5,True
39.0,281.75,True
39.0,282.0,True
39.0,282.25,True
39.0,282.5,True
39.0,282.75,True
39.0,283.0,True
39.0,283.25,True
